{'level': 'DEBUG', 'message': 'https://kurulusdemo.rahatfatura.com.tr/account/login - [DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o', 'source': 'recommendation', 'timestamp': 1672920127632}
{'level': 'SEVERE', 'message': "https://kurulusdemo.rahatfatura.com.tr/vendors/js/vendors.min.js 1:174379 Uncaught TypeError: Cannot read properties of undefined (reading 'closest')", 'source': 'javascript', 'timestamp': 1672920128829}
{'level': 'SEVERE', 'message': "https://kurulusdemo.rahatfatura.com.tr/vendors/js/vendors.min.js 1:174379 Uncaught TypeError: Cannot read properties of undefined (reading 'closest')", 'source': 'javascript', 'timestamp': 1672920129116}
{'level': 'INFO', 'message': 'https://kurulusdemo.rahatfatura.com.tr/js/scripts/views/apps/periods.js 4:16 "infos" "1" "2"', 'source': 'console-api', 'timestamp': 1672920130366}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672920130967}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672920131498}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/tables/datatable/jquery.dataTables.min.js 55:190 Uncaught TypeError: Cannot read properties of undefined (reading 'length')", 'source': 'javascript', 'timestamp': 1672920167231}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/tables/datatable/jquery.dataTables.min.js 55:190 Uncaught TypeError: Cannot read properties of undefined (reading 'length')", 'source': 'javascript', 'timestamp': 1672920741521}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/tables/datatable/jquery.dataTables.min.js 55:190 Uncaught TypeError: Cannot read properties of undefined (reading 'length')", 'source': 'javascript', 'timestamp': 1672920857084}
{'level': 'SEVERE', 'message': 'https://muhasebedemo.rahatfatura.com.tr/definitions/items/items - Failed to load resource: the server responded with a status of 400 ()', 'source': 'network', 'timestamp': 1672922382668}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 135:28 Object', 'source': 'console-api', 'timestamp': 1672922382680}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 136:28 "{\\"clientVersion\\":\\"4.8.0\\"}"', 'source': 'console-api', 'timestamp': 1672922382680}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672922387939}
{'level': 'SEVERE', 'message': 'https://muhasebedemo.rahatfatura.com.tr/definitions/items/items - Failed to load resource: the server responded with a status of 400 ()', 'source': 'network', 'timestamp': 1672923349709}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 135:28 Object', 'source': 'console-api', 'timestamp': 1672923349711}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 136:28 "{\\"clientVersion\\":\\"4.8.0\\"}"', 'source': 'console-api', 'timestamp': 1672923349711}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672923354957}
{'level': 'SEVERE', 'message': 'https://muhasebedemo.rahatfatura.com.tr/definitions/items/items - Failed to load resource: the server responded with a status of 400 ()', 'source': 'network', 'timestamp': 1672923360117}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 135:28 Object', 'source': 'console-api', 'timestamp': 1672923360119}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 136:28 "{\\"clientVersion\\":\\"4.8.0\\"}"', 'source': 'console-api', 'timestamp': 1672923360120}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672923365206}
